user_id,week,day_of_week,time_of_day,gender,age,nationality,MinPerBlock
1,1,Sunday,Morning,Male,42,Carthaginian,112
1,1,Sunday,Midday,Male,42,Carthaginian,95
1,1,Sunday,Evening,Male,42,Carthaginian,98
1,1,Monday,Morning,Male,42,Carthaginian,0
1,1,Monday,Midday,Male,42,Carthaginian,0
1,1,Monday,Evening,Male,42,Carthaginian,129
1,1,Tuesday,Morning,Male,42,Carthaginian,136
1,1,Tuesday,Midday,Male,42,Carthaginian,0
1,1,Tuesday,Evening,Male,42,Carthaginian,108
1,1,Wednesday,Morning,Male,42,Carthaginian,78
1,1,Wednesday,Midday,Male,42,Carthaginian,0
1,1,Wednesday,Evening,Male,42,Carthaginian,0
1,1,Thursday,Morning,Male,42,Carthaginian,144
1,1,Thursday,Midday,Male,42,Carthaginian,104
1,1,Thursday,Evening,Male,42,Carthaginian,110
1,1,Friday,Morning,Male,42,Carthaginian,190
1,1,Friday,Midday,Male,42,Carthaginian,229
1,1,Friday,Evening,Male,42,Carthaginian,150
1,1,Saturday,Morning,Male,42,Carthaginian,146
1,1,Saturday,Midday,Male,42,Carthaginian,196
1,1,Saturday,Evening,Male,42,Carthaginian,170
1,2,Sunday,Morning,Male,42,Carthaginian,70
1,2,Sunday,Midday,Male,42,Carthaginian,0
1,2,Sunday,Evening,Male,42,Carthaginian,0
1,2,Monday,Morning,Male,42,Carthaginian,0
1,2,Monday,Midday,Male,42,Carthaginian,0
1,2,Monday,Evening,Male,42,Carthaginian,129
1,2,Tuesday,Morning,Male,42,Carthaginian,65
1,2,Tuesday,Midday,Male,42,Carthaginian,91
1,2,Tuesday,Evening,Male,42,Carthaginian,123
1,2,Wednesday,Morning,Male,42,Carthaginian,75
1,2,Wednesday,Midday,Male,42,Carthaginian,119
1,2,Wednesday,Evening,Male,42,Carthaginian,0
1,2,Thursday,Morning,Male,42,Carthaginian,131
1,2,Thursday,Midday,Male,42,Carthaginian,104
1,2,Thursday,Evening,Male,42,Carthaginian,89
1,2,Friday,Morning,Male,42,Carthaginian,217
1,2,Friday,Midday,Male,42,Carthaginian,119
1,2,Friday,Evening,Male,42,Carthaginian,183
1,2,Saturday,Morning,Male,42,Carthaginian,206
1,2,Saturday,Midday,Male,42,Carthaginian,230
1,2,Saturday,Evening,Male,42,Carthaginian,73
2,1,Sunday,Morning,Female,69,Carthaginian,219
2,1,Sunday,Midday,Female,69,Carthaginian,0
2,1,Sunday,Evening,Female,69,Carthaginian,0
2,1,Monday,Morning,Female,69,Carthaginian,0
2,1,Monday,Midday,Female,69,Carthaginian,261
2,1,Monday,Evening,Female,69,Carthaginian,326
2,1,Tuesday,Morning,Female,69,Carthaginian,0
2,1,Tuesday,Midday,Female,69,Carthaginian,151
2,1,Tuesday,Evening,Female,69,Carthaginian,111
2,1,Wednesday,Morning,Female,69,Carthaginian,183
2,1,Wednesday,Midday,Female,69,Carthaginian,217
2,1,Wednesday,Evening,Female,69,Carthaginian,0
2,1,Thursday,Morning,Female,69,Carthaginian,0
2,1,Thursday,Midday,Female,69,Carthaginian,124
2,1,Thursday,Evening,Female,69,Carthaginian,73
2,1,Friday,Morning,Female,69,Carthaginian,406
2,1,Friday,Midday,Female,69,Carthaginian,377
2,1,Friday,Evening,Female,69,Carthaginian,164
2,1,Saturday,Morning,Female,69,Carthaginian,135
2,1,Saturday,Midday,Female,69,Carthaginian,252
2,1,Saturday,Evening,Female,69,Carthaginian,236
2,2,Sunday,Morning,Female,69,Carthaginian,0
2,2,Sunday,Midday,Female,69,Carthaginian,158
2,2,Sunday,Evening,Female,69,Carthaginian,147
2,2,Monday,Morning,Female,69,Carthaginian,0
2,2,Monday,Midday,Female,69,Carthaginian,251
2,2,Monday,Evening,Female,69,Carthaginian,162
2,2,Tuesday,Morning,Female,69,Carthaginian,133
2,2,Tuesday,Midday,Female,69,Carthaginian,0
2,2,Tuesday,Evening,Female,69,Carthaginian,242
2,2,Wednesday,Morning,Female,69,Carthaginian,212
2,2,Wednesday,Midday,Female,69,Carthaginian,0
2,2,Wednesday,Evening,Female,69,Carthaginian,140
2,2,Thursday,Morning,Female,69,Carthaginian,0
2,2,Thursday,Midday,Female,69,Carthaginian,0
2,2,Thursday,Evening,Female,69,Carthaginian,0
2,2,Friday,Morning,Female,69,Carthaginian,0
2,2,Friday,Midday,Female,69,Carthaginian,168
2,2,Friday,Evening,Female,69,Carthaginian,194
